house,category,constituency,district,state,representative,role,username,password
Lok Sabha,District Authority Auditor,AKOLA,AKOLA,Maharashtra,ANUP SANJAY DHOTRE,District Authority Auditor,auditor_akola,Auditor@Akola2026!
Lok Sabha,Member of Parliament (Lok Sabha),AKOLA,AKOLA,Maharashtra,ANUP SANJAY DHOTRE,Member of Parliament,mp_akola,MP@Akola2026!
Lok Sabha,District Authority Auditor,ALAPPUZHA,ALAPPUZHA,Kerala,K. C VENUGOPAL,District Authority Auditor,auditor_alappuzha,Auditor@Alappuzha2026!
Lok Sabha,Member of Parliament (Lok Sabha),ALAPPUZHA,ALAPPUZHA,Kerala,K. C VENUGOPAL,Member of Parliament,mp_alappuzha,MP@Alappuzha2026!
Lok Sabha,District Authority Auditor,ALATHUR(SC),ALATHUR(SC),Kerala,K RADHAKRISHNAN,District Authority Auditor,auditor_alathur,Auditor@Alathur2026!
Lok Sabha,Member of Parliament (Lok Sabha),ALATHUR(SC),ALATHUR(SC),Kerala,K RADHAKRISHNAN,Member of Parliament,mp_alathur,MP@Alathur2026!
Lok Sabha,District Authority Auditor,ALIGARH,ALIGARH,Uttar Pradesh,Shri Satish Kumar Gautam,District Authority Auditor,auditor_aligarh,Auditor@Aligarh2026!
Lok Sabha,Member of Parliament (Lok Sabha),ALIGARH,ALIGARH,Uttar Pradesh,Shri Satish Kumar Gautam,Member of Parliament,mp_aligarh,MP@Aligarh2026!
Lok Sabha,District Authority Auditor,ALIPURDUARS(ST),ALIPURDUARS(ST),West Bengal,MANOJ TIGGA,District Authority Auditor,auditor_alipurduars,Auditor@Alipurduars2026!
Lok Sabha,Member of Parliament (Lok Sabha),ALIPURDUARS(ST),ALIPURDUARS(ST),West Bengal,MANOJ TIGGA,Member of Parliament,mp_alipurduars,MP@Alipurduars2026!
Lok Sabha,District Authority Auditor,ALLAHABAD,ALLAHABAD,Uttar Pradesh,UJJWAL RAMAN SINGH,District Authority Auditor,auditor_allahabad,Auditor@Allahabad2026!
Lok Sabha,Member of Parliament (Lok Sabha),ALLAHABAD,ALLAHABAD,Uttar Pradesh,UJJWAL RAMAN SINGH,Member of Parliament,mp_allahabad,MP@Allahabad2026!
Lok Sabha,District Authority Auditor,ALMORA(SC),ALMORA(SC),Uttarakhand,Ajay Tamta,District Authority Auditor,auditor_almora,Auditor@Almora2026!
Lok Sabha,Member of Parliament (Lok Sabha),ALMORA(SC),ALMORA(SC),Uttarakhand,Ajay Tamta,Member of Parliament,mp_almora,MP@Almora2026!
Lok Sabha,District Authority Auditor,ALWAR,ALWAR,Rajasthan,BHUPENDER YADAV,District Authority Auditor,auditor_alwar,Auditor@Alwar2026!
Lok Sabha,Member of Parliament (Lok Sabha),ALWAR,ALWAR,Rajasthan,BHUPENDER YADAV,Member of Parliament,mp_alwar,MP@Alwar2026!
Lok Sabha,District Authority Auditor,AMALAPURAM(SC),AMALAPURAM(SC),Andhra Pradesh,GM Harish Balayogi,District Authority Auditor,auditor_amalapuram,Auditor@Amalapuram2026!
Lok Sabha,Member of Parliament (Lok Sabha),AMALAPURAM(SC),AMALAPURAM(SC),Andhra Pradesh,GM Harish Balayogi,Member of Parliament,mp_amalapuram,MP@Amalapuram2026!
Lok Sabha,District Authority Auditor,AMBALA (SC),AMBALA (SC),Haryana,VARUN CHAUDHRY,District Authority Auditor,auditor_ambala,Auditor@Ambala2026!
Lok Sabha,Member of Parliament (Lok Sabha),AMBALA (SC),AMBALA (SC),Haryana,VARUN CHAUDHRY,Member of Parliament,mp_ambala,MP@Ambala2026!
Lok Sabha,District Authority Auditor,AMBEDKAR NAGAR,AMBEDKAR NAGAR,Uttar Pradesh,LALJI VERMA,District Authority Auditor,auditor_ambedkar_nagar,Auditor@AmbedkarNaga2026!
Lok Sabha,Member of Parliament (Lok Sabha),AMBEDKAR NAGAR,AMBEDKAR NAGAR,Uttar Pradesh,LALJI VERMA,Member of Parliament,mp_ambedkar_nagar,MP@AmbedkarNaga2026!
Lok Sabha,District Authority Auditor,AMETHI,AMETHI,Uttar Pradesh,KISHORI LAL,District Authority Auditor,auditor_amethi,Auditor@Amethi2026!
Lok Sabha,Member of Parliament (Lok Sabha),AMETHI,AMETHI,Uttar Pradesh,KISHORI LAL,Member of Parliament,mp_amethi,MP@Amethi2026!
Lok Sabha,District Authority Auditor,AMRAVATI(SC),AMRAVATI(SC),Maharashtra,BALWANT BASWANT WANKHADE,District Authority Auditor,auditor_amravati,Auditor@Amravati2026!
Lok Sabha,Member of Parliament (Lok Sabha),AMRAVATI(SC),AMRAVATI(SC),Maharashtra,BALWANT BASWANT WANKHADE,Member of Parliament,mp_amravati,MP@Amravati2026!
Lok Sabha,District Authority Auditor,AMRELI,AMRELI,Gujarat,BHARATBHAI MANUBHAI SUTARIYA,District Authority Auditor,auditor_amreli,Auditor@Amreli2026!
Lok Sabha,Member of Parliament (Lok Sabha),AMRELI,AMRELI,Gujarat,BHARATBHAI MANUBHAI SUTARIYA,Member of Parliament,mp_amreli,MP@Amreli2026!
Lok Sabha,District Authority Auditor,AMRITSAR,AMRITSAR,Punjab,Shri Gurjeet Singh Aujla,District Authority Auditor,auditor_amritsar,Auditor@Amritsar2026!
Lok Sabha,Member of Parliament (Lok Sabha),AMRITSAR,AMRITSAR,Punjab,Shri Gurjeet Singh Aujla,Member of Parliament,mp_amritsar,MP@Amritsar2026!
Lok Sabha,District Authority Auditor,AMROHA,AMROHA,Uttar Pradesh,KANWAR SINGH TANWAR,District Authority Auditor,auditor_amroha,Auditor@Amroha2026!
Lok Sabha,Member of Parliament (Lok Sabha),AMROHA,AMROHA,Uttar Pradesh,KANWAR SINGH TANWAR,Member of Parliament,mp_amroha,MP@Amroha2026!
Lok Sabha,District Authority Auditor,ANAKAPALLE,ANAKAPALLE,Andhra Pradesh,C.M.RAMESH,District Authority Auditor,auditor_anakapalle,Auditor@Anakapalle2026!
Lok Sabha,Member of Parliament (Lok Sabha),ANAKAPALLE,ANAKAPALLE,Andhra Pradesh,C.M.RAMESH,Member of Parliament,mp_anakapalle,MP@Anakapalle2026!
Lok Sabha,District Authority Auditor,ANAND,ANAND,Gujarat,Mitesh Rameshbhai Bakabhai Patel,District Authority Auditor,auditor_anand,Auditor@Anand2026!
Lok Sabha,Member of Parliament (Lok Sabha),ANAND,ANAND,Gujarat,Mitesh Rameshbhai Bakabhai Patel,Member of Parliament,mp_anand,MP@Anand2026!
Lok Sabha,District Authority Auditor,ANANDPUR SAHIB,ANANDPUR SAHIB,Punjab,MALVINDER SINGH KANG,District Authority Auditor,auditor_anandpur_sahib,Auditor@AnandpurSahi2026!
Lok Sabha,Member of Parliament (Lok Sabha),ANANDPUR SAHIB,ANANDPUR SAHIB,Punjab,MALVINDER SINGH KANG,Member of Parliament,mp_anandpur_sahib,MP@AnandpurSahi2026!
Lok Sabha,District Authority Auditor,ANANTAPUR,ANANTAPUR,Andhra Pradesh,AMBICA G LAKSHMINARAYANA VALMIKI,District Authority Auditor,auditor_anantapur,Auditor@Anantapur2026!
Lok Sabha,Member of Parliament (Lok Sabha),ANANTAPUR,ANANTAPUR,Andhra Pradesh,AMBICA G LAKSHMINARAYANA VALMIKI,Member of Parliament,mp_anantapur,MP@Anantapur2026!
Lok Sabha,District Authority Auditor,ANANTNAG,ANANTNAG,Jammu And Kashmir,MIAN ALTAF AHMAD,District Authority Auditor,auditor_anantnag,Auditor@Anantnag2026!
Lok Sabha,Member of Parliament (Lok Sabha),ANANTNAG,ANANTNAG,Jammu And Kashmir,MIAN ALTAF AHMAD,Member of Parliament,mp_anantnag,MP@Anantnag2026!
Lok Sabha,District Authority Auditor,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,Andaman And Nicobar Islands,BISHNU PADA RAY,District Authority Auditor,auditor_andaman_and_nicobar_islands,Auditor@AndamanAndNi2026!
Lok Sabha,Member of Parliament (Lok Sabha),ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,Andaman And Nicobar Islands,BISHNU PADA RAY,Member of Parliament,mp_andaman_and_nicobar_islands,MP@AndamanAndNi2026!
Lok Sabha,District Authority Auditor,AONLA,AONLA,Uttar Pradesh,NEERAJ MAURYA,District Authority Auditor,auditor_aonla,Auditor@Aonla2026!
Lok Sabha,Member of Parliament (Lok Sabha),AONLA,AONLA,Uttar Pradesh,NEERAJ MAURYA,Member of Parliament,mp_aonla,MP@Aonla2026!
Lok Sabha,District Authority Auditor,ARAKKONAM,ARAKKONAM,Tamil Nadu,S. Jagathrakshakan,District Authority Auditor,auditor_arakkonam,Auditor@Arakkonam2026!
Lok Sabha,Member of Parliament (Lok Sabha),ARAKKONAM,ARAKKONAM,Tamil Nadu,S. Jagathrakshakan,Member of Parliament,mp_arakkonam,MP@Arakkonam2026!
Lok Sabha,District Authority Auditor,ARAKU(ST),ARAKU(ST),Andhra Pradesh,Gumma Thanuja Rani,District Authority Auditor,auditor_araku,Auditor@Araku2026!
Lok Sabha,Member of Parliament (Lok Sabha),ARAKU(ST),ARAKU(ST),Andhra Pradesh,Gumma Thanuja Rani,Member of Parliament,mp_araku,MP@Araku2026!
Lok Sabha,District Authority Auditor,ARAMBAG(SC),ARAMBAG(SC),West Bengal,BAG MITALI,District Authority Auditor,auditor_arambag,Auditor@Arambag2026!
Lok Sabha,Member of Parliament (Lok Sabha),ARAMBAG(SC),ARAMBAG(SC),West Bengal,BAG MITALI,Member of Parliament,mp_arambag,MP@Arambag2026!
Lok Sabha,District Authority Auditor,ARANI,ARANI,Tamil Nadu,THARANIVENTHAN M S,District Authority Auditor,auditor_arani,Auditor@Arani2026!
Lok Sabha,Member of Parliament (Lok Sabha),ARANI,ARANI,Tamil Nadu,THARANIVENTHAN M S,Member of Parliament,mp_arani,MP@Arani2026!
Lok Sabha,District Authority Auditor,ARARIA,ARARIA,Bihar,Pradeep Kumar Singh,District Authority Auditor,auditor_araria,Auditor@Araria2026!
Lok Sabha,Member of Parliament (Lok Sabha),ARARIA,ARARIA,Bihar,Pradeep Kumar Singh,Member of Parliament,mp_araria,MP@Araria2026!
Lok Sabha,District Authority Auditor,ARRAH,ARRAH,Bihar,SUDAMA PRASAD,District Authority Auditor,auditor_arrah,Auditor@Arrah2026!
Lok Sabha,Member of Parliament (Lok Sabha),ARRAH,ARRAH,Bihar,SUDAMA PRASAD,Member of Parliament,mp_arrah,MP@Arrah2026!
Lok Sabha,District Authority Auditor,ARUNACHAL EAST,ARUNACHAL EAST,Arunachal Pradesh,Shri Tapir Gao,District Authority Auditor,auditor_arunachal_east,Auditor@ArunachalEas2026!
Lok Sabha,Member of Parliament (Lok Sabha),ARUNACHAL EAST,ARUNACHAL EAST,Arunachal Pradesh,Shri Tapir Gao,Member of Parliament,mp_arunachal_east,MP@ArunachalEas2026!
Lok Sabha,District Authority Auditor,ARUNACHAL WEST,ARUNACHAL WEST,Arunachal Pradesh,Kiren Rijiju,District Authority Auditor,auditor_arunachal_west,Auditor@ArunachalWes2026!
Lok Sabha,Member of Parliament (Lok Sabha),ARUNACHAL WEST,ARUNACHAL WEST,Arunachal Pradesh,Kiren Rijiju,Member of Parliament,mp_arunachal_west,MP@ArunachalWes2026!
Lok Sabha,District Authority Auditor,ASANSOL,ASANSOL,West Bengal,Shatrughan Sinha,District Authority Auditor,auditor_asansol,Auditor@Asansol2026!
Lok Sabha,Member of Parliament (Lok Sabha),ASANSOL,ASANSOL,West Bengal,Shatrughan Sinha,Member of Parliament,mp_asansol,MP@Asansol2026!
Lok Sabha,District Authority Auditor,ASKA,ASKA,Odisha,ANITA SUBHADARSHINI,District Authority Auditor,auditor_aska,Auditor@Aska2026!
Lok Sabha,Member of Parliament (Lok Sabha),ASKA,ASKA,Odisha,ANITA SUBHADARSHINI,Member of Parliament,mp_aska,MP@Aska2026!
Lok Sabha,District Authority Auditor,ATTINGAL,ATTINGAL,Kerala,Adv Adoor Prakash,District Authority Auditor,auditor_attingal,Auditor@Attingal2026!
Lok Sabha,Member of Parliament (Lok Sabha),ATTINGAL,ATTINGAL,Kerala,Adv Adoor Prakash,Member of Parliament,mp_attingal,MP@Attingal2026!
Lok Sabha,District Authority Auditor,AURANGABAD_BR,AURANGABAD_BR,Bihar,ABHAY KUMAR SINHA,District Authority Auditor,auditor_aurangabad_br,Auditor@AurangabadBr2026!
Lok Sabha,Member of Parliament (Lok Sabha),AURANGABAD_BR,AURANGABAD_BR,Bihar,ABHAY KUMAR SINHA,Member of Parliament,mp_aurangabad_br,MP@AurangabadBr2026!
Lok Sabha,District Authority Auditor,AURANGABAD_MH,AURANGABAD_MH,Maharashtra,BHUMARE SANDIPANRAO ASARAM,District Authority Auditor,auditor_aurangabad_mh,Auditor@AurangabadMh2026!
Lok Sabha,Member of Parliament (Lok Sabha),AURANGABAD_MH,AURANGABAD_MH,Maharashtra,BHUMARE SANDIPANRAO ASARAM,Member of Parliament,mp_aurangabad_mh,MP@AurangabadMh2026!
Lok Sabha,District Authority Auditor,AZAMGARH,AZAMGARH,Uttar Pradesh,DHARMENDRA YADAV,District Authority Auditor,auditor_azamgarh,Auditor@Azamgarh2026!
Lok Sabha,Member of Parliament (Lok Sabha),AZAMGARH,AZAMGARH,Uttar Pradesh,DHARMENDRA YADAV,Member of Parliament,mp_azamgarh,MP@Azamgarh2026!
Lok Sabha,District Authority Auditor,BADAUN,BADAUN,Uttar Pradesh,ADITYA YADAV,District Authority Auditor,auditor_badaun,Auditor@Badaun2026!
Lok Sabha,Member of Parliament (Lok Sabha),BADAUN,BADAUN,Uttar Pradesh,ADITYA YADAV,Member of Parliament,mp_badaun,MP@Badaun2026!
Lok Sabha,District Authority Auditor,BAGALKOT,BAGALKOT,Karnataka,Parvatagouda Chandanagouda Gaddigoudar,District Authority Auditor,auditor_bagalkot,Auditor@Bagalkot2026!
Lok Sabha,Member of Parliament (Lok Sabha),BAGALKOT,BAGALKOT,Karnataka,Parvatagouda Chandanagouda Gaddigoudar,Member of Parliament,mp_bagalkot,MP@Bagalkot2026!
Lok Sabha,District Authority Auditor,BAGHPAT,BAGHPAT,Uttar Pradesh,DR RAJKUMAR SANGWAN,District Authority Auditor,auditor_baghpat,Auditor@Baghpat2026!
Lok Sabha,Member of Parliament (Lok Sabha),BAGHPAT,BAGHPAT,Uttar Pradesh,DR RAJKUMAR SANGWAN,Member of Parliament,mp_baghpat,MP@Baghpat2026!
Lok Sabha,District Authority Auditor,BAHARAMPUR,BAHARAMPUR,West Bengal,PATHAN YUSUF,District Authority Auditor,auditor_baharampur,Auditor@Baharampur2026!
Lok Sabha,Member of Parliament (Lok Sabha),BAHARAMPUR,BAHARAMPUR,West Bengal,PATHAN YUSUF,Member of Parliament,mp_baharampur,MP@Baharampur2026!
Lok Sabha,District Authority Auditor,BAHRAICH(SC),BAHRAICH(SC),Uttar Pradesh,ANAND KUMAR,District Authority Auditor,auditor_bahraich,Auditor@Bahraich2026!
Lok Sabha,Member of Parliament (Lok Sabha),BAHRAICH(SC),BAHRAICH(SC),Uttar Pradesh,ANAND KUMAR,Member of Parliament,mp_bahraich,MP@Bahraich2026!
Lok Sabha,District Authority Auditor,BALAGHAT,BALAGHAT,Madhya Pradesh,BHARTI PARDHI,District Authority Auditor,auditor_balaghat,Auditor@Balaghat2026!
Lok Sabha,Member of Parliament (Lok Sabha),BALAGHAT,BALAGHAT,Madhya Pradesh,BHARTI PARDHI,Member of Parliament,mp_balaghat,MP@Balaghat2026!
Lok Sabha,District Authority Auditor,BALASORE,BALASORE,Odisha,Pratap Chandra Sarangi,District Authority Auditor,auditor_balasore,Auditor@Balasore2026!
Lok Sabha,Member of Parliament (Lok Sabha),BALASORE,BALASORE,Odisha,Pratap Chandra Sarangi,Member of Parliament,mp_balasore,MP@Balasore2026!
Lok Sabha,District Authority Auditor,BALLIA,BALLIA,Uttar Pradesh,SANATAN PANDEY,District Authority Auditor,auditor_ballia,Auditor@Ballia2026!
Lok Sabha,Member of Parliament (Lok Sabha),BALLIA,BALLIA,Uttar Pradesh,SANATAN PANDEY,Member of Parliament,mp_ballia,MP@Ballia2026!
Lok Sabha,District Authority Auditor,BALURGHAT,BALURGHAT,West Bengal,Dr Sukanta Majumdar,District Authority Auditor,auditor_balurghat,Auditor@Balurghat2026!
Lok Sabha,Member of Parliament (Lok Sabha),BALURGHAT,BALURGHAT,West Bengal,Dr Sukanta Majumdar,Member of Parliament,mp_balurghat,MP@Balurghat2026!
Lok Sabha,District Authority Auditor,BANASKANTHA,BANASKANTHA,Gujarat,GENIBEN NAGAJI THAKOR,District Authority Auditor,auditor_banaskantha,Auditor@Banaskantha2026!
Lok Sabha,Member of Parliament (Lok Sabha),BANASKANTHA,BANASKANTHA,Gujarat,GENIBEN NAGAJI THAKOR,Member of Parliament,mp_banaskantha,MP@Banaskantha2026!
Lok Sabha,District Authority Auditor,BANDA,BANDA,Uttar Pradesh,KRISHNA DEVI SHIVSHANKER PATEL,District Authority Auditor,auditor_banda,Auditor@Banda2026!
Lok Sabha,Member of Parliament (Lok Sabha),BANDA,BANDA,Uttar Pradesh,KRISHNA DEVI SHIVSHANKER PATEL,Member of Parliament,mp_banda,MP@Banda2026!
Lok Sabha,District Authority Auditor,BANGALORE CENTRAL,BANGALORE CENTRAL,Karnataka,P C Mohan,District Authority Auditor,auditor_bangalore_central,Auditor@BangaloreCen2026!
Lok Sabha,Member of Parliament (Lok Sabha),BANGALORE CENTRAL,BANGALORE CENTRAL,Karnataka,P C Mohan,Member of Parliament,mp_bangalore_central,MP@BangaloreCen2026!
Lok Sabha,District Authority Auditor,BANGALORE NORTH,BANGALORE NORTH,Karnataka,SHOBHA KARANDLAJE,District Authority Auditor,auditor_bangalore_north,Auditor@BangaloreNor2026!
Lok Sabha,Member of Parliament (Lok Sabha),BANGALORE NORTH,BANGALORE NORTH,Karnataka,SHOBHA KARANDLAJE,Member of Parliament,mp_bangalore_north,MP@BangaloreNor2026!
Lok Sabha,District Authority Auditor,BANGALORE RURAL,BANGALORE RURAL,Karnataka,DR C N MANJUNATH,District Authority Auditor,auditor_bangalore_rural,Auditor@BangaloreRur2026!
Lok Sabha,Member of Parliament (Lok Sabha),BANGALORE RURAL,BANGALORE RURAL,Karnataka,DR C N MANJUNATH,Member of Parliament,mp_bangalore_rural,MP@BangaloreRur2026!
Lok Sabha,District Authority Auditor,BANGALORE SOUTH,BANGALORE SOUTH,Karnataka,Shri LS Tejasvi Surya,District Authority Auditor,auditor_bangalore_south,Auditor@BangaloreSou2026!
Lok Sabha,Member of Parliament (Lok Sabha),BANGALORE SOUTH,BANGALORE SOUTH,Karnataka,Shri LS Tejasvi Surya,Member of Parliament,mp_bangalore_south,MP@BangaloreSou2026!
Lok Sabha,District Authority Auditor,BANGAON(SC),BANGAON(SC),West Bengal,Shri Shantanu Thakur,District Authority Auditor,auditor_bangaon,Auditor@Bangaon2026!
Lok Sabha,Member of Parliament (Lok Sabha),BANGAON(SC),BANGAON(SC),West Bengal,Shri Shantanu Thakur,Member of Parliament,mp_bangaon,MP@Bangaon2026!
Lok Sabha,District Authority Auditor,BANKA,BANKA,Bihar,Giridhari Yadav,District Authority Auditor,auditor_banka,Auditor@Banka2026!
Lok Sabha,Member of Parliament (Lok Sabha),BANKA,BANKA,Bihar,Giridhari Yadav,Member of Parliament,mp_banka,MP@Banka2026!
Lok Sabha,District Authority Auditor,BANKURA,BANKURA,West Bengal,ARUP CHAKRABORTY,District Authority Auditor,auditor_bankura,Auditor@Bankura2026!
Lok Sabha,Member of Parliament (Lok Sabha),BANKURA,BANKURA,West Bengal,ARUP CHAKRABORTY,Member of Parliament,mp_bankura,MP@Bankura2026!
Lok Sabha,District Authority Auditor,BANSGAON(SC),BANSGAON(SC),Uttar Pradesh,Kamlesh Paswan,District Authority Auditor,auditor_bansgaon,Auditor@Bansgaon2026!
Lok Sabha,Member of Parliament (Lok Sabha),BANSGAON(SC),BANSGAON(SC),Uttar Pradesh,Kamlesh Paswan,Member of Parliament,mp_bansgaon,MP@Bansgaon2026!
Lok Sabha,District Authority Auditor,BANSWARA(ST),BANSWARA(ST),Rajasthan,RAJ KUMAR ROAT,District Authority Auditor,auditor_banswara,Auditor@Banswara2026!
Lok Sabha,Member of Parliament (Lok Sabha),BANSWARA(ST),BANSWARA(ST),Rajasthan,RAJ KUMAR ROAT,Member of Parliament,mp_banswara,MP@Banswara2026!
Lok Sabha,District Authority Auditor,BAPATLA,BAPATLA,Andhra Pradesh,Krishna Prasad Tenneti,District Authority Auditor,auditor_bapatla,Auditor@Bapatla2026!
Lok Sabha,Member of Parliament (Lok Sabha),BAPATLA,BAPATLA,Andhra Pradesh,Krishna Prasad Tenneti,Member of Parliament,mp_bapatla,MP@Bapatla2026!
Lok Sabha,District Authority Auditor,BARABANKI(SC),BARABANKI(SC),Uttar Pradesh,TANUJ PUNIA,District Authority Auditor,auditor_barabanki,Auditor@Barabanki2026!
Lok Sabha,Member of Parliament (Lok Sabha),BARABANKI(SC),BARABANKI(SC),Uttar Pradesh,TANUJ PUNIA,Member of Parliament,mp_barabanki,MP@Barabanki2026!
Lok Sabha,District Authority Auditor,BARAMATI,BARAMATI,Maharashtra,Smt Supriya Sadanand Sule,District Authority Auditor,auditor_baramati,Auditor@Baramati2026!
Lok Sabha,Member of Parliament (Lok Sabha),BARAMATI,BARAMATI,Maharashtra,Smt Supriya Sadanand Sule,Member of Parliament,mp_baramati,MP@Baramati2026!
Lok Sabha,District Authority Auditor,BARAMULLAH,BARAMULLAH,Jammu And Kashmir,ABDUL RASHID SHEIKH,District Authority Auditor,auditor_baramullah,Auditor@Baramullah2026!
Lok Sabha,Member of Parliament (Lok Sabha),BARAMULLAH,BARAMULLAH,Jammu And Kashmir,ABDUL RASHID SHEIKH,Member of Parliament,mp_baramullah,MP@Baramullah2026!
Lok Sabha,District Authority Auditor,BARASAT,BARASAT,West Bengal,Kakoli Ghosh Dastidar,District Authority Auditor,auditor_barasat,Auditor@Barasat2026!
Lok Sabha,Member of Parliament (Lok Sabha),BARASAT,BARASAT,West Bengal,Kakoli Ghosh Dastidar,Member of Parliament,mp_barasat,MP@Barasat2026!
Lok Sabha,District Authority Auditor,BARDHAMAN PURBA(SC),BARDHAMAN PURBA(SC),West Bengal,DR. SHARMILA SARKAR,District Authority Auditor,auditor_bardhaman_purba,Auditor@BardhamanPur2026!
Lok Sabha,Member of Parliament (Lok Sabha),BARDHAMAN PURBA(SC),BARDHAMAN PURBA(SC),West Bengal,DR. SHARMILA SARKAR,Member of Parliament,mp_bardhaman_purba,MP@BardhamanPur2026!
Lok Sabha,District Authority Auditor,BARDHAMAN-DURGAPUR,BARDHAMAN-DURGAPUR,West Bengal,AZAD KIRTI JHA,District Authority Auditor,auditor_bardhaman_durgapur,Auditor@BardhamanDur2026!
Lok Sabha,Member of Parliament (Lok Sabha),BARDHAMAN-DURGAPUR,BARDHAMAN-DURGAPUR,West Bengal,AZAD KIRTI JHA,Member of Parliament,mp_bardhaman_durgapur,MP@BardhamanDur2026!
Lok Sabha,District Authority Auditor,BARDOLI(ST),BARDOLI(ST),Gujarat,Prabhubhai Nagarbhai Vasava,District Authority Auditor,auditor_bardoli,Auditor@Bardoli2026!
Lok Sabha,Member of Parliament (Lok Sabha),BARDOLI(ST),BARDOLI(ST),Gujarat,Prabhubhai Nagarbhai Vasava,Member of Parliament,mp_bardoli,MP@Bardoli2026!
Lok Sabha,District Authority Auditor,BAREILLY,BAREILLY,Uttar Pradesh,CHHATRA PAL SINGH GANGWAR,District Authority Auditor,auditor_bareilly,Auditor@Bareilly2026!
Lok Sabha,Member of Parliament (Lok Sabha),BAREILLY,BAREILLY,Uttar Pradesh,CHHATRA PAL SINGH GANGWAR,Member of Parliament,mp_bareilly,MP@Bareilly2026!
Lok Sabha,District Authority Auditor,BARGARH,BARGARH,Odisha,PRADEEP PUROHIT,District Authority Auditor,auditor_bargarh,Auditor@Bargarh2026!
Lok Sabha,Member of Parliament (Lok Sabha),BARGARH,BARGARH,Odisha,PRADEEP PUROHIT,Member of Parliament,mp_bargarh,MP@Bargarh2026!
Lok Sabha,District Authority Auditor,BARMER,BARMER,Rajasthan,UMMEDA RAM BENIWAL,District Authority Auditor,auditor_barmer,Auditor@Barmer2026!
Lok Sabha,Member of Parliament (Lok Sabha),BARMER,BARMER,Rajasthan,UMMEDA RAM BENIWAL,Member of Parliament,mp_barmer,MP@Barmer2026!
Lok Sabha,District Authority Auditor,BARPETA,BARPETA,Assam,PHANI BHUSAN CHOUDHURY,District Authority Auditor,auditor_barpeta,Auditor@Barpeta2026!
Lok Sabha,Member of Parliament (Lok Sabha),BARPETA,BARPETA,Assam,PHANI BHUSAN CHOUDHURY,Member of Parliament,mp_barpeta,MP@Barpeta2026!
Lok Sabha,District Authority Auditor,BARRACKPUR,BARRACKPUR,West Bengal,PARTHA BHOWMICK,District Authority Auditor,auditor_barrackpur,Auditor@Barrackpur2026!
Lok Sabha,Member of Parliament (Lok Sabha),BARRACKPUR,BARRACKPUR,West Bengal,PARTHA BHOWMICK,Member of Parliament,mp_barrackpur,MP@Barrackpur2026!
